
LENOVO-YOGA-7-1

"Supervisor Mode Access Prevention (SMAP)","Present"
"Hardware Lock Elision (HLE)","Not Present"
"Restricted Transactional Memory (RTM)","Not Present"
"Memory Protection Extensions (MPX)","Not Present"
"Read/Write FS/GS Base Instructions","Present"
"Enhanced Performance String Instruction","Present"
"INVPCID Instruction","Present"
"RDSEED Instruction","Present"
"Multi-precision Add Carry Instructions (ADX)","Present"
"PCOMMIT Instructions","Not Present"
"CLFLUSHOPT Instructions","Present"
"CLWB Instructions","Present"
"Time-Stamp Counter Adjustment","Not Present"
"Platform Quality of Service Monitoring (PQM)","Not Present"
"Platform Quality of Service Enforcement (PQE)","Not Present"
"FPU Data Pointer updated only on x87 Exceptions","Not Present"
"Deprecated FPU CS and FPU DS","Present"
"Intel Processor Trace","Present"
"PREFETCHWT1 Instruction","Not Present"
"AVX-512 Vector Bit Manipulation Instructions","Not Present"
"AVX-512 Vector Bit Manipulation Instructions 2","Not Present"
"AVX-512 Galois Fields New Instructions","Present"
"AVX-512 Vector AES","Present"
"AVX-512 Vector Neural Network Instructions","Not Present"
"AVX-512 Bit Algorithms","Not Present"
"AVX-512 Carry-Less Multiplication Quadword (VPCLMULQDQ)","Present"
"AVX-512 Vector POPCNT (VPOPCNTD/VPOPCNTQ)","Not Present"
"User-Mode Instruction Prevention","Present"
"Protection Keys for User-mode Pages","Not Present"
"OS Enabled Protection Keys","Not Present"
"Wait and Pause Enhancements (WAITPKG)","Present"
"Total Memory Encryption","Not Present"
"Key Locker","Not Present"
"57-bit Linear Addresses, 5-level Paging","Not Present"
"Read Processor ID","Present"
"OS Bus-Lock Detection","Not Present"
"Cache Line Demote","Not Present"
"MOVDIRI: Direct Stores","Present"
"MOVDIR64B: Direct Stores","Present"
"ENQCMD: Enqueue Stores","Not Present"
"SGX Launch Configuration","Not Present"
"Protection Keys for Supervisor-Mode Pages","Not Present"
"Control-Flow Enforcement Technology (CET) Shadow Stack","Present"
"Attestation Services for Intel SGX","Not Present"
"AVX-512 4 x Vector Neural Network Instructions Word Variable Precision","Not Present"
"AVX-512 4 x Fused Multiply Accumulation Packed Single Precision","Not Present"
"Fast Short REP MOV","Present"
"User Interrupts","Not Present"
"AVX-512 VP2INTERSECT Support","Not Present"
"AVX-512 FP16","Not Present"
"MD_CLEAR Support","Present"
"IA32_MCU_OPT_CTRL MSR Support","Not Present"
"Restricted Transactional Memory (RTM) Always Abort","Not Present"
"Restricted Transactional Memory (RTM) Force Abort","Not Present"
"SERIALIZE","Present"
"Hybrid Processor","Present"
"TSX Suspend Load Address Tracking","Not Present"
"Platform Configuration (PCONFIG)","Not Present"
"Architectural LBRs","Present"
"Indirect Branch Restricted Speculation (IBRS), Indirect Branch Predictor Barrier (IBPB)","Present"
"Single Thread Indirect Branch Predictors (STIBP)","Present"
"L1D_FLUSH Support","Present"
"IA32_ARCH_CAPABILITIES MSR","Present"
"IA32_CORE_CAPABILITIES MSR","Not Present"
"Speculative Store Bypass Disable (SSBD)","Present"
"Control-Flow Enforcement Technology (CET) Indirect Branch Tracking","Present"
"Advanced Matrix Extensions (AMX) Tile Architecture","Not Present"
"Advanced Matrix Extensions (AMX) bfloat16 Support","Not Present"
"Advanced Matrix Extensions (AMX) 8-bit Integer Operations","Not Present"
"SHA512 Instructions","Not Present"
"SM3 Instructions","Not Present"
"SM4 Instructions","Not Present"
"Advanced Matrix Extensions (AMX) FP16 Instructions","Not Present"
"AVX (VEX-encoded) Vector Neural Network Instructions","Present"
"AVX-512 BFLOAT16 Instructions","Not Present"
"Fast Zero-Length MOVSB","Not Present"
"Fast Short STOSB","Present"
"Fast Short CMPSB, SCASB","Not Present"
"History Reset","Present"
"Linear Address Masking","Not Present"
"Linear Address Space Separation","Not Present"
"RAO-INT Instructions","Not Present"
"CMPccXADD Instructions","Not Present"
"Flexible Return and Event Delivery (FRED)","Not Present"
"LKGS Instruction","Not Present"
"WRMSRNS Instruction","Not Present"
"NMI-source Reporting","Not Present"
"AVX-IFMA Instructions","Not Present"
"RD/WR MSRLIST Instructions","Not Present"
"INVD Execution Prevention After BIOS-Done","Not Present"
"Move Read-Shared Value (MOVRS)","Not Present"
"Protected Processor Inventory Number (IA32_PPIN) Support","Not Present"
"PBNDKB Instruction","Not Present"
"Asymmetrical Intel RDT Monitoring capability","Not Present"
"Asymmetrical Intel RDT Allocation capability","Not Present"
"X86S (Legacy-reduced OS ISA)","Not Present"
"64-bit SIPI","Not Present"
"RDMSR/WRMSR Immediate Forms","Not Present"
"AVX-VNNI-INT8 Instructions","Not Present"
"AVX-VNNI-INT16 Instructions","Not Present"
"AVX-NE-CONVERT Instructions","Not Present"
"PREFETCHIT0/1 Instructions","Not Present"
"URDMSR/UWRMSR Instructions","Not Present"
"AMX-COMPLEX Instructions","Not Present"
"CET Supervisor Shadow-Stack","Not Present"
"UIRET Support","Not Present"
"User-Timer Events","Not Present"
"MWAIT Instruction","Not Present"
"Static Lockstep Mode","Not Present"
"Trusted Execution Environment Attestation Rooted in Security Engine","Not Present"
"Advanced Vector Extensions 10 (AVX10)","Not Present"
"Advanced Performance Extensions (APX) Foundation","Not Present"
"Not Exhibiting MXCSR Configuration Dependent Timing (MCDT)","Not Present"
"UC-Lock Disable Feature","Not Present"
"Rogue Data Cache Load (RDCL):","Not Susceptible"
"Speculative Store Bypass (SSB):","Susceptible"
"Microarchitectural Data Sampling (MDS):","Not Susceptible"
"MCE on modifying code page size without TLB invalidation:","Not Susceptible"
"Transactional Asynchronous Abort (TAA):","Not Affected"
"Shared Buffers Data Read (SBDR), Sideband Stale Data Propagator (SSDP) Vulnerability:","Not Affected"
"Fill Buffer Stale Data Propagator (FBSDP) Vulnerability:","Not Affected"
"Primary Stale Data Propagator (PSDP) Vulnerability:","Not Affected"
"Post-barrier Return Stack Buffer Predictions Vulnerability:","Affected"
"Gather Data Sampling Vulnerability:","Not Affected"
"Register File Data Sampling Vulnerability:","Not Affected"
"Indirect Target Selection:","Not Affected"
"Indirect Branch Restriction Speculation (IBRS):","Supported"
"RTM_DISABLE and TSX_CPUID_CLEAR:","Not Supported"
"RSB Alternate:","Supported"
"L1D Flush on VM Entry Not Needed:","Supported"
"Data Operand Independent Timing Mode (DOITM):","Not Supported"
"Energy Filtering Control:","Not Supported"
"Data Operand Independent Timing Mode:","Not Supported"
"RRSBA Alternate Prediction Behavior:","Not Supported"
"BHI_NO Branch Prediction Behavior:","Not Supported"
"MCU Enumeration MSR:","Not Supported"
"MCU Extended Servicing:","Not Supported"
"Overclocking Utilized:","Disabled"
"Dynamic Overclocking Undervolt Protection:","Enabled"
"Overclocking Secure Status:","Enabled"
"Overclocking Opt-In:","Not Supported"
"Thermal Monitor 1:","Supported, Enabled"
"Thermal Monitor 2:","Supported, Enabled"
"Enhanced Intel SpeedStep (GV3):","Supported, Enabled"
"Bi-directional PROCHOT#:","Enabled"
"Extended Auto-HALT State C1E:","Enabled"
"MLC Streamer Prefetcher","Supported, Enabled"
"MLC Spatial Prefetcher","Supported, Enabled"
"DCU Streamer Prefetcher","Supported, Enabled"
"DCU IP Prefetcher","Supported, Enabled"
"Intel Dynamic Acceleration (IDA) Technology:","Not Supported"
"Intel Dynamic FSB Switching:","Not Supported"
"Intel Turbo Boost Technology:","Supported, Enabled"
"Programmable Ratio Limits:","Supported, Disabled"
"Programmable TDC/TDP Limits:","Supported, Disabled"
"Hardware Duty Cycling:","Not Supported"
"Intel Speed Select:","Not Supported"
"NVME:","Supported"
"DMI x4 Width:","Supported"
"DRAM ECC:","Not Supported"
"VT-d:","Supported"
"DMI in Gen2 Mode:","Supported"
"1N Mode DDR Timings:","Supported"
"Camarillo (DTT) Device:","Supported"
"2 DIMMs per Channel:","Not Supported"
"X2APIC:","Supported"
"Dual Memory Channel:","Supported"
"Integrated GPU (IGD):","Enabled"
"2 Level Memory (2LM):","Supported"
"DDR Overclocking:","Disabled"
"Maximum Memory Size per Channel:","32 GB (unlimited)"
"DDR Frequency Support (100 MHz RefClk):","Not Supported"
"IMGU/IPU Device:","Supported"
"Intel Processor Trace (Northpeak):","Supported"
"Overclocking:","Disabled"
"Hyper-Threading (SMT):","Supported"
"Compute Die:","Enabled"
"PCIe Gen 3:","Supported"
"DMI Gen 3:","Supported"
"HDCP:","Supported"
"L Technology:","1LM"
"VMD:","Supported"
"PCIe Gen 5:","Supported"
"PCIe Gen 4:","Supported"
"BCLK OC Limit:","100 MHz"
"DDR4:","Not Supported"
"LPDDR4:","Not Supported"
"Dynamic Memory Frequency (QCLK GV):","Supported"
"Software Guard Extension (SGX):","Supported"
"DDR5:","Supported"
"Maximum Supported DDR5 Frequency:","2800 MHz"
"LPDDR5:","Supported"
"Maximum Supported LPDDR5 Frequency:","4200 MHz"
"VCC VR:","Monolithic Pwr Sys (0xa1), IMVP9.2"
"VR Thermal Sensor:","Not Supported"
"Maximum Physical Address Size:","46-bit (64 TBytes)"
"Maximum Virtual Address Size:","48-bit (256 TBytes)"
"Range 0-40000000 (0MB-1024MB) Type:","Write Back (WB)"
"Range 40000000-60000000 (1024MB-1536MB) Type:","Write Back (WB)"
"Range 60000000-70000000 (1536MB-1792MB) Type:","Write Back (WB)"
"Range 480000000-480100000 (18432MB-18433MB) Type:","Uncacheable (UC)"
"Range 70000000-80000000 (1792MB-2048MB) Type:","Write Combining (WC)"
"Range 100000000-200000000 (4096MB-8192MB) Type:","Write Back (WB)"
"Range 200000000-400000000 (8192MB-16384MB) Type:","Write Back (WB)"
"Range 400000000-800000000 (16384MB-32768MB) Type:","Write Back (WB)"

Motherboard

"Computer Brand Name:","LENOVO 83DJ"
"Motherboard Model:","LENOVO LNVNB161216"
"Motherboard Chipset:","Intel Meteor Lake-H PCH"
"Motherboard Slots:","4xPCI Express x1, 3xPCI Express x4"
"PCI Express Version Supported:","v4.0"
"USB Version Supported:","v4.0"
"BIOS Manufacturer:","LENOVO"
"BIOS Date:","06/23/2026"
"BIOS Version:","NWCN27WW"
"UEFI BIOS:","Capable"
"ACPI Version:","6.3"
"Super-IO/LPC Chip:","ITE IT5571"
"Trusted Platform Module (TPM) Chip:","Hardware TPM, version 2.0"

ACPI Devices


I2C HID Device

"Device Name:","I2C HID Device"
"IRQ:","1024"

Standard PS/2 Keyboard

"Device Name:","Standard PS/2 Keyboard"
"I/O Port:","0060"
"I/O Port:","0000"
"I/O Port:","0060"
"I/O Port:","0064"
"IRQ:","1"

Intel(R) Serial IO GPIO Host Controller - INTC1083

"Device Name:","Intel(R) Serial IO GPIO Host Controller - INTC1083"
"Memory Location:","E0D40000 - E0D4FFFF"
"IRQ:","14"
"Memory Location:","E0D10000"
"Memory Location:","E0D20000"
"Memory Location:","E0D30000 - E0D3FFFF"
"Memory Location:","E0D40000"
"Memory Location:","E0D50000 - E0D5FFFF"
"IRQ:","14"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","1854 - 1857"
"I/O Port:","1854 - 1857"

Trusted Platform Module 2.0

"Device Name:","Trusted Platform Module 2.0"
"Memory Location:","FED40000 - FED44FFF"
"Memory Location:","FED40000 - FED44FFF"

Programmable interrupt controller

"Device Name:","Programmable interrupt controller"
"I/O Port:","0020 - 0021"
"I/O Port:","0030 - 0031"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00B0 - 00B1"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"I/O Port:","0020 - 0021"
"I/O Port:","0024 - 0025"
"I/O Port:","0028 - 0029"
"I/O Port:","002C - 002D"
"I/O Port:","0030 - 0031"
"I/O Port:","0034 - 0035"
"I/O Port:","0038 - 0039"
"I/O Port:","003C - 003D"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00A4 - 00A5"
"I/O Port:","00A8 - 00A9"
"I/O Port:","00AC - 00AD"
"I/O Port:","00B0 - 00B1"
"I/O Port:","00B4 - 00B5"
"I/O Port:","00B8 - 00B9"
"I/O Port:","00BC - 00BD"
"I/O Port:","04D0 - 04D1"

System timer

"Device Name:","System timer"
"I/O Port:","0040 - 0043"
"DMA:","0"
"I/O Port:","0040 - 0043"
"I/O Port:","0050 - 0053"
"IRQ:","0"

High precision event timer

"Device Name:","High precision event timer"
"Memory Location:","FED00000 - FED003FF"
"Memory Location:","FED00000 - FED003FF"

PCI Express Root Complex

"Device Name:","PCI Express Root Complex"
"I/O Port:","0000 - FFFFFFFF"
"Memory Location:","000A0000 - 000BFFFF"
"I/O Port:","0000 - 0CF7"
"I/O Port:","0D00 - FFFF"
"Memory Location:","000A0000 - 000BFFFF"
"Memory Location:","80000000 - BFFFFFFF"

Motherboard resources

"Device Name:","Motherboard resources"
"Memory Location:","FEDC0000 - FEDC7FFF"
"Memory Location:","FED20000 - FED7FFFF"
"Memory Location:","FEDC0000 - FEDC7FFF"
"Memory Location:","00000000 - 00000FFF"
"Memory Location:","00000000 - 00000FFF"
"Memory Location:","C0000000 - CFFFFFFF"
"Memory Location:","FED20000 - FED7FFFF"
"Memory Location:","FC800000 - FC81FFFF"
"Memory Location:","FED45000 - FED8FFFF"
"Memory Location:","FEE00000 - FEEFFFFF"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","002E - 002F"
"I/O Port:","0065"
"I/O Port:","0000 - 006F"
"I/O Port:","0092"
"IRQ:","1114369"
"I/O Port:","002E - 002F"
"I/O Port:","004E - 004F"
"I/O Port:","0061"
"I/O Port:","0063"
"I/O Port:","0065"
"I/O Port:","0067"
"I/O Port:","0070"
"I/O Port:","0080"
"I/O Port:","0092"
"I/O Port:","00B2 - 00B3"
"I/O Port:","0680 - 069F"
"I/O Port:","164E - 164F"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","2000 - 20FE"
"I/O Port:","2000 - 20FE"

Microsoft ACPI-Compliant Embedded Controller

"Device Name:","Microsoft ACPI-Compliant Embedded Controller"
"I/O Port:","0062"
"I/O Port:","0062"
"I/O Port:","0066"

UCM-UCSI ACPI Device

"Device Name:","UCM-UCSI ACPI Device"
"Memory Location:","63DDF000 - 63DDFFFF"
"Memory Location:","63DDF000 - 63DDFFFF"

Wacom Device

"Device Name:","Wacom Device"
"IRQ:","1025"

SMBIOS DMI


BIOS

"BIOS Vendor:","LENOVO"
"BIOS Version:","NWCN27WW"
"BIOS Release Date:","06/23/2026"
"BIOS Start Segment:","0"
"BIOS Size:","16 MBytes"
"System BIOS Version:","1.27"
"Embedded Controller Firmware Version:","1.27"
"ISA Support:","Not Present"
"MCA Support:","Not Present"
"EISA Support:","Not Present"
"PCI Support:","Present"
"PC Card (PCMCIA) Support:","Not Present"
"Plug-and-Play Support:","Not Present"
"APM Support:","Not Present"
"Flash BIOS:","Present"
"BIOS Shadow:","Present"
"VL-VESA Support:","Not Present"
"ESCD Support:","Not Present"
"Boot from CD:","Present"
"Selectable Boot:","Present"
"BIOS ROM Socketed:","Not Present"
"Boot from PC Card:","Not Present"
"EDD Support:","Present"
"NEC PC-98 Support:","Not Present"
"ACPI Support:","Present"
"USB Legacy Support:","Present"
"AGP Support:","Not Present"
"I2O Boot Support:","Not Present"
"LS-120 Boot Support:","Not Present"
"ATAPI ZIP Drive Boot Support:","Not Present"
"IEE1394 Boot Support:","Not Present"
"Smart Battery Support:","Not Present"
"BIOS Boot Specification Support:","Present"
"Function key-initiated Network Service Boot Support:","Not Present"
"Targeted Content Distribution Support:","Present"
"UEFI Specification Support:","Present"
"Virtual Machine:","Not Present"

System

"System Manufacturer:","LENOVO"
"Product Name:","83DJ"
"Product Version:","Yoga 7 2-in-1 14IML9"
"Product Serial Number:","YX0AWJ8B"
"UUID:","{20240519-1893-41D6-4D2C-189341D64D30}"
"SKU Number:","LENOVO_MT_83DJ_BU_idea_FM_Yoga 7 2-in-1 14IML9"
"Family:","Yoga 7 2-in-1 14IML9"

Mainboard

"Mainboard Manufacturer:","LENOVO"
"Mainboard Name:","LNVNB161216"
"Mainboard Version:","SDK0T76485 WIN"
"Mainboard Serial Number:","YX0AWJ8B"
"Asset Tag:","NO Asset Tag"
"Location in chassis:","Type2 - Board Chassis Location"

System Enclosure

"Manufacturer:","LENOVO"
"Case Type:","Convertible"
"Version:","Yoga 7 2-in-1 14IML9"
"Serial Number:","YX0AWJ8B"
"Asset Tag Number:","NO Asset Tag"

Processor

"Processor Manufacturer:","Intel(R) Corporation"
"Processor Version:","Intel(R) Core(TM) Ultra 5 125H"
"External Clock:","100 MHz"
"Maximum Clock Supported:","4500 MHz"
"Current Clock:","3762 MHz"
"CPU Socket:","Populated"
"CPU Status:","Enabled"
"Processor Type:","Central Processor"
"Processor Voltage:","0.8 V"
"Processor Upgrade:","Unknown (1)"
"Socket Designation:","U3E1"

L1 Cache

"Socket Designation:","L1 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L1 Data"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Parity"
"Maximum Cache Size:","192 KBytes"
"Installed Cache Size:","192 KBytes"
"Cache Associativity:","12-way Set-Associative"

L1 Cache

"Socket Designation:","L1 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L1 Instruction"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Parity"
"Maximum Cache Size:","256 KBytes"
"Installed Cache Size:","256 KBytes"
"Cache Associativity:","16-way Set-Associative"

L2 Cache

"Socket Designation:","L2 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L2 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Single-bit ECC"
"Maximum Cache Size:","8192 KBytes"
"Installed Cache Size:","8192 KBytes"
"Cache Associativity:","16-way Set-Associative"

L3 Cache

"Socket Designation:","L3 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L3 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Multi-bit ECC"
"Maximum Cache Size:","18432 KBytes"
"Installed Cache Size:","18432 KBytes"
"Cache Associativity:","12-way Set-Associative"

L1 Cache

"Socket Designation:","L1 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L1 Data"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Parity"
"Maximum Cache Size:","320 KBytes"
"Installed Cache Size:","320 KBytes"
"Cache Associativity:","8-way Set-Associative"

L1 Cache

"Socket Designation:","L1 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L1 Instruction"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Parity"
"Maximum Cache Size:","640 KBytes"
"Installed Cache Size:","640 KBytes"
"Cache Associativity:","8-way Set-Associative"

L2 Cache

"Socket Designation:","L2 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L2 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Single-bit ECC"
"Maximum Cache Size:","6144 KBytes"
"Installed Cache Size:","6144 KBytes"
"Cache Associativity:","16-way Set-Associative"

L3 Cache

"Socket Designation:","L3 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L3 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Multi-bit ECC"
"Maximum Cache Size:","18432 KBytes"
"Installed Cache Size:","18432 KBytes"
"Cache Associativity:","12-way Set-Associative"

OEM Strings



System Configuration Options





BIOS Language










Group Associations


Group Associations


System Event Log


Built-in Pointing Device

"Device Type:","Touch Pad"
"Interface Type:","PS/2"
"Number of Buttons:","4"

Portable Battery

"Battery Location:","In the back, on the bottom side"
"Battery Manufacturer:","Sunwoda"
"Manufacture Date:","08/16/2023"
"Serial Number:","4A57"
"Device Name:","L22D4PA1"
"Device Chemistry:","Lithium-ion"
"Design Capacity:","5464 mWh"
"Design Voltage:","15360 mV"
"SBDS Verison Number:",""
"Max. Error in Battery Data:","1"
"SBDS Serial Number:","Unknown"
"SBDS Manufacture Date:","Unknown"
"SBDS Device Chemistry:",""

Hardware Security

"Power-on Password:","Disabled"
"Keyboard Password:","Disabled"
"Administrator Password:","Disabled"
"Front Panel Reset:","Disabled"

Voltage Probe

"Description:","Voltage Probe Description"
"Location:","Unknown"
"Status:","Unknown"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Cooling Device

"Type:","Fan"
"Description:","Cooling Device Description"
"Status:","OK"
"Nominal Speed:","8192 RPM"

Temperature Probe

"Description:","Temperature Probe Description"
"Location:","Unknown"
